,County,Data Generation Date,OSHPD Project Status,Total Costs of OSHPD Projects,Number of OSHPD Projects,Collection of Counties
1261,26 - Mono,12/12/13,In Review,190794,2,NA
1262,26 - Mono,12/12/13,Pending Construction,0,0,NA
1263,26 - Mono,12/12/13,In Construction,22398,4,NA
1264,26 - Mono,12/12/13,In Closure,533972,2,NA
1265,27 - Monterey,12/12/13,In Review,1941290,8,NA
1266,27 - Monterey,12/12/13,Pending Construction,1507476,13,NA
1267,27 - Monterey,12/12/13,In Construction,36310171,18,NA
1268,27 - Monterey,12/12/13,In Closure,2228806.65,14,NA
1269,28 - Napa,12/12/13,In Review,535000,5,Bay Area Counties
1270,28 - Napa,12/12/13,Pending Construction,669298,7,Bay Area Counties
1271,28 - Napa,12/12/13,In Construction,34351720,12,Bay Area Counties
1272,28 - Napa,12/12/13,In Closure,50586897.76,23,Bay Area Counties
1273,29 - Nevada,12/12/13,In Review,15477056,7,NA
1274,29 - Nevada,12/12/13,Pending Construction,3819556,4,NA
1275,29 - Nevada,12/12/13,In Construction,30353994,21,NA
1276,29 - Nevada,12/12/13,In Closure,0,0,NA
1277,30 - Orange,12/12/13,In Review,33368599.33,85,Greater Los Angeles Counties
1278,30 - Orange,12/12/13,Pending Construction,23121267.33,63,Greater Los Angeles Counties
1279,30 - Orange,12/12/13,In Construction,224983694.1,143,Greater Los Angeles Counties
1280,30 - Orange,12/12/13,In Closure,336519324.5,211,Greater Los Angeles Counties
1281,31 - Placer,12/12/13,In Review,10108385,12,Greater Sacramento Counties
1282,31 - Placer,12/12/13,Pending Construction,686000,6,Greater Sacramento Counties
1283,31 - Placer,12/12/13,In Construction,56797373.8,18,Greater Sacramento Counties
1284,31 - Placer,12/12/13,In Closure,76792339.61,18,Greater Sacramento Counties
1285,32 - Plumas,12/12/13,In Review,45441,2,NA
1286,32 - Plumas,12/12/13,Pending Construction,83000,2,NA
1287,32 - Plumas,12/12/13,In Construction,85900,2,NA
1288,32 - Plumas,12/12/13,In Closure,0,0,NA
1289,33 - Riverside,12/12/13,In Review,248844851.7,65,NA
1290,33 - Riverside,12/12/13,Pending Construction,144356435,68,NA
1291,33 - Riverside,12/12/13,In Construction,144178048.6,122,NA
1292,33 - Riverside,12/12/13,In Closure,48162853,120,NA
1293,34 - Sacramento,12/12/13,In Review,51410603,39,Greater Sacramento Counties
1294,34 - Sacramento,12/12/13,Pending Construction,92945418.19,34,Greater Sacramento Counties
1295,34 - Sacramento,12/12/13,In Construction,264496501.1,125,Greater Sacramento Counties
1296,34 - Sacramento,12/12/13,In Closure,114148509.9,62,Greater Sacramento Counties
1297,35 - San Benito,12/12/13,In Review,0,0,NA
1298,35 - San Benito,12/12/13,Pending Construction,0,0,NA
1299,35 - San Benito,12/12/13,In Construction,14231955,4,NA
1300,35 - San Benito,12/12/13,In Closure,252000,2,NA
1301,36 - San Bernardino,12/12/13,In Review,196134914.5,45,NA
1302,36 - San Bernardino,12/12/13,Pending Construction,16026786.78,47,NA
1303,36 - San Bernardino,12/12/13,In Construction,202293167.3,118,NA
1304,36 - San Bernardino,12/12/13,In Closure,60054385,79,NA
1305,37 - San Diego,12/12/13,In Review,417593603.9,121,NA
1306,37 - San Diego,12/12/13,Pending Construction,214621769.3,112,NA
1307,37 - San Diego,12/12/13,In Construction,720503701.3,220,NA
1308,37 - San Diego,12/12/13,In Closure,420095547.2,231,NA
1309,38 - San Francisco,12/12/13,In Review,1237802398,66,Bay Area Counties
1310,38 - San Francisco,12/12/13,Pending Construction,356714890.4,67,Bay Area Counties
1311,38 - San Francisco,12/12/13,In Construction,1171677838,118,Bay Area Counties
1312,38 - San Francisco,12/12/13,In Closure,292248954.4,99,Bay Area Counties
1313,39 - San Joaquin,12/12/13,In Review,5469678.8,21,NA
1314,39 - San Joaquin,12/12/13,Pending Construction,91117472,32,NA
1315,39 - San Joaquin,12/12/13,In Construction,24829644.58,48,NA
1316,39 - San Joaquin,12/12/13,In Closure,18875108.44,18,NA
1317,40 - San Luis Obispo,12/12/13,In Review,2891415,11,NA
1318,40 - San Luis Obispo,12/12/13,Pending Construction,344000,9,NA
1319,40 - San Luis Obispo,12/12/13,In Construction,6644961.1,18,NA
1320,40 - San Luis Obispo,12/12/13,In Closure,9975677.02,30,NA
1321,41 - San Mateo,12/12/13,In Review,74573192.52,29,Bay Area Counties
1322,41 - San Mateo,12/12/13,Pending Construction,36749309.46,23,Bay Area Counties
1323,41 - San Mateo,12/12/13,In Construction,333929300.8,68,Bay Area Counties
1324,41 - San Mateo,12/12/13,In Closure,85336170.43,44,Bay Area Counties
1325,42 - Santa Barbara,12/12/13,In Review,10102000,15,NA
1326,42 - Santa Barbara,12/12/13,Pending Construction,77928440.4,20,NA
1327,42 - Santa Barbara,12/12/13,In Construction,300146351.6,40,NA
1328,42 - Santa Barbara,12/12/13,In Closure,95375296.45,22,NA
1329,43 - Santa Clara,12/12/13,In Review,733219403.4,75,Bay Area Counties
1330,43 - Santa Clara,12/12/13,Pending Construction,14638055,63,Bay Area Counties
1331,43 - Santa Clara,12/12/13,In Construction,972428644.3,150,Bay Area Counties
1332,43 - Santa Clara,12/12/13,In Closure,97756519.24,134,Bay Area Counties
1333,44 - Santa Cruz,12/12/13,In Review,11340229,8,NA
1334,44 - Santa Cruz,12/12/13,Pending Construction,276407.5,7,NA
1335,44 - Santa Cruz,12/12/13,In Construction,3356091.99,17,NA
1336,44 - Santa Cruz,12/12/13,In Closure,8532386.81,15,NA
1337,45 - Shasta,12/12/13,In Review,23372545,12,NA
1338,45 - Shasta,12/12/13,Pending Construction,2827287,20,NA
1339,45 - Shasta,12/12/13,In Construction,5256618.81,19,NA
1340,45 - Shasta,12/12/13,In Closure,9013286,4,NA
1341,46 - Sierra,12/12/13,In Review,0,0,NA
1342,46 - Sierra,12/12/13,Pending Construction,0,0,NA
1343,46 - Sierra,12/12/13,In Construction,0,0,NA
1344,46 - Sierra,12/12/13,In Closure,0,0,NA
1345,47 - Siskiyou,12/12/13,In Review,10000,1,NA
1346,47 - Siskiyou,12/12/13,Pending Construction,726700,3,NA
1347,47 - Siskiyou,12/12/13,In Construction,1090562.07,7,NA
1348,47 - Siskiyou,12/12/13,In Closure,60000,2,NA
1349,48 - Solano,12/12/13,In Review,8617159,15,Bay Area Counties
1350,48 - Solano,12/12/13,Pending Construction,9844845,12,Bay Area Counties
1351,48 - Solano,12/12/13,In Construction,42467377.13,29,Bay Area Counties
1352,48 - Solano,12/12/13,In Closure,32463073,22,Bay Area Counties
1353,49 - Sonoma,12/12/13,In Review,24742568.6,12,Bay Area Counties
1354,49 - Sonoma,12/12/13,Pending Construction,2592744,19,Bay Area Counties
1355,49 - Sonoma,12/12/13,In Construction,120057355.3,45,Bay Area Counties
1356,49 - Sonoma,12/12/13,In Closure,38112559.3,25,Bay Area Counties
1357,50 - Stanislaus,12/12/13,In Review,24763550,18,NA
1358,50 - Stanislaus,12/12/13,Pending Construction,4013535,23,NA
1359,50 - Stanislaus,12/12/13,In Construction,13904797.66,34,NA
1360,50 - Stanislaus,12/12/13,In Closure,81606452.2,36,NA
1361,51 - Sutter,12/12/13,In Review,12654000,2,NA
1362,51 - Sutter,12/12/13,Pending Construction,81183,4,NA
1363,51 - Sutter,12/12/13,In Construction,0,0,NA
1364,51 - Sutter,12/12/13,In Closure,24350,2,NA
1365,52 - Tehama,12/12/13,In Review,350000,1,NA
1366,52 - Tehama,12/12/13,Pending Construction,424200,7,NA
1367,52 - Tehama,12/12/13,In Construction,1809800,4,NA
1368,52 - Tehama,12/12/13,In Closure,0,0,NA
1369,53 - Trinity,12/12/13,In Review,8200,2,NA
1370,53 - Trinity,12/12/13,Pending Construction,13200,2,NA
1371,53 - Trinity,12/12/13,In Construction,411172,1,NA
1372,53 - Trinity,12/12/13,In Closure,0,0,NA
1373,54 - Tulare,12/12/13,In Review,34722400,17,NA
1374,54 - Tulare,12/12/13,Pending Construction,2617766.29,10,NA
1375,54 - Tulare,12/12/13,In Construction,83461587,9,NA
1376,54 - Tulare,12/12/13,In Closure,6132678.62,18,NA
1377,55 - Tuolumne,12/12/13,In Review,125500,2,NA
1378,55 - Tuolumne,12/12/13,Pending Construction,1007100,6,NA
1379,55 - Tuolumne,12/12/13,In Construction,634000,4,NA
1380,55 - Tuolumne,12/12/13,In Closure,1167723.91,11,NA
1381,56 - Ventura,12/12/13,In Review,235486052.7,51,Greater Los Angeles Counties
1382,56 - Ventura,12/12/13,Pending Construction,10076790.33,35,Greater Los Angeles Counties
1383,56 - Ventura,12/12/13,In Construction,393888121,67,Greater Los Angeles Counties
1384,56 - Ventura,12/12/13,In Closure,34673445,59,Greater Los Angeles Counties
1385,57 - Yolo,12/12/13,In Review,831623,7,Greater Sacramento Counties
1386,57 - Yolo,12/12/13,Pending Construction,584000,3,Greater Sacramento Counties
1387,57 - Yolo,12/12/13,In Construction,1502144,8,Greater Sacramento Counties
1388,57 - Yolo,12/12/13,In Closure,59405,2,Greater Sacramento Counties
1389,58 - Yuba,12/12/13,In Review,31556706.5,2,NA
1390,58 - Yuba,12/12/13,Pending Construction,32194689.5,4,NA
1391,58 - Yuba,12/12/13,In Construction,68363126,5,NA
1392,58 - Yuba,12/12/13,In Closure,446592,4,NA
1393,01 - Alameda,1/2/14,In Review,38420857,44,Bay Area Counties
1394,01 - Alameda,1/2/14,Pending Construction,328285654.1,124,Bay Area Counties
1395,01 - Alameda,1/2/14,In Construction,1556169585,190,Bay Area Counties
1396,01 - Alameda,1/2/14,In Closure,63763209.61,60,Bay Area Counties
1397,02 - Alpine,1/2/14,In Review,0,0,NA
1398,02 - Alpine,1/2/14,Pending Construction,0,0,NA
1399,02 - Alpine,1/2/14,In Construction,0,0,NA
1400,02 - Alpine,1/2/14,In Closure,0,0,NA
1401,03 - Amador,1/2/14,In Review,1293951,1,NA
1402,03 - Amador,1/2/14,Pending Construction,316858,1,NA
1403,03 - Amador,1/2/14,In Construction,1593315,7,NA
1404,03 - Amador,1/2/14,In Closure,244780,2,NA
1405,04 - Butte,1/2/14,In Review,9362824,12,NA
1406,04 - Butte,1/2/14,Pending Construction,2346586,9,NA
1407,04 - Butte,1/2/14,In Construction,90754945,15,NA
1408,04 - Butte,1/2/14,In Closure,1086911,8,NA
1409,05 - Calaveras,1/2/14,In Review,85000,1,NA
1410,05 - Calaveras,1/2/14,Pending Construction,96500,3,NA
1411,05 - Calaveras,1/2/14,In Construction,0,0,NA
1412,05 - Calaveras,1/2/14,In Closure,0,0,NA
1413,06 - Colusa,1/2/14,In Review,15000,1,NA
1414,06 - Colusa,1/2/14,Pending Construction,25000,1,NA
1415,06 - Colusa,1/2/14,In Construction,1951,1,NA
1416,06 - Colusa,1/2/14,In Closure,0,0,NA
1417,07 - Contra Costa,1/2/14,In Review,23159769,32,Bay Area Counties
1418,07 - Contra Costa,1/2/14,Pending Construction,20755102,48,Bay Area Counties
1419,07 - Contra Costa,1/2/14,In Construction,38312233.98,56,Bay Area Counties
1420,07 - Contra Costa,1/2/14,In Closure,12675955.6,20,Bay Area Counties
1421,08 - Del Norte,1/2/14,In Review,0,0,NA
1422,08 - Del Norte,1/2/14,Pending Construction,0,0,NA
1423,08 - Del Norte,1/2/14,In Construction,6462001,3,NA
1424,08 - Del Norte,1/2/14,In Closure,301430,2,NA
1425,09 - El Dorado,1/2/14,In Review,11410240,6,Greater Sacramento Counties
1426,09 - El Dorado,1/2/14,Pending Construction,376575,2,Greater Sacramento Counties
1427,09 - El Dorado,1/2/14,In Construction,11361464,5,Greater Sacramento Counties
1428,09 - El Dorado,1/2/14,In Closure,24271614,5,Greater Sacramento Counties
1429,10 - Fresno,1/2/14,In Review,41390283.71,40,NA
1430,10 - Fresno,1/2/14,Pending Construction,12408084,33,NA
1431,10 - Fresno,1/2/14,In Construction,234777220.7,77,NA
1432,10 - Fresno,1/2/14,In Closure,18151008.76,61,NA
1433,11 - Glenn,1/2/14,In Review,12962075,2,NA
1434,11 - Glenn,1/2/14,Pending Construction,0,0,NA
1435,11 - Glenn,1/2/14,In Construction,224685,1,NA
1436,11 - Glenn,1/2/14,In Closure,10000,1,NA
1437,12 - Humboldt,1/2/14,In Review,5180000,9,NA
1438,12 - Humboldt,1/2/14,Pending Construction,1430000,5,NA
1439,12 - Humboldt,1/2/14,In Construction,88055643,12,NA
1440,12 - Humboldt,1/2/14,In Closure,1167029,8,NA
1441,13 - Imperial,1/2/14,In Review,25565000,4,NA
1442,13 - Imperial,1/2/14,Pending Construction,111500,4,NA
1443,13 - Imperial,1/2/14,In Construction,108000,2,NA
1444,13 - Imperial,1/2/14,In Closure,508711,2,NA
1445,14 - Inyo,1/2/14,In Review,0,0,NA
1446,14 - Inyo,1/2/14,Pending Construction,39903,2,NA
1447,14 - Inyo,1/2/14,In Construction,9300,2,NA
1448,14 - Inyo,1/2/14,In Closure,49769715.54,3,NA
1449,15 - Kern,1/2/14,In Review,4247521,23,NA
1450,15 - Kern,1/2/14,Pending Construction,6818800.34,15,NA
1451,15 - Kern,1/2/14,In Construction,66981552,35,NA
1452,15 - Kern,1/2/14,In Closure,16089095.82,21,NA
1453,16 - Kings,1/2/14,In Review,430000,6,NA
1454,16 - Kings,1/2/14,Pending Construction,28285000,8,NA
1455,16 - Kings,1/2/14,In Construction,318722,6,NA
1456,16 - Kings,1/2/14,In Closure,431436,4,NA
1457,17 - Lake,1/2/14,In Review,1871000,5,NA
1458,17 - Lake,1/2/14,Pending Construction,131500,3,NA
1459,17 - Lake,1/2/14,In Construction,5767797.23,13,NA
1460,17 - Lake,1/2/14,In Closure,90341.04,5,NA
1461,18 - Lassen,1/2/14,In Review,935870,2,NA
1462,18 - Lassen,1/2/14,Pending Construction,145120,1,NA
1463,18 - Lassen,1/2/14,In Construction,1165643,9,NA
1464,18 - Lassen,1/2/14,In Closure,0,0,NA
1465,19 - Los Angeles,1/2/14,In Review,528980664.6,476,Greater Los Angeles Counties
1466,19 - Los Angeles,1/2/14,Pending Construction,272509928.7,506,Greater Los Angeles Counties
1467,19 - Los Angeles,1/2/14,In Construction,2236609039,848,Greater Los Angeles Counties
1468,19 - Los Angeles,1/2/14,In Closure,624265769.8,750,Greater Los Angeles Counties
1469,20 - Madera,1/2/14,In Review,695954,1,NA
1470,20 - Madera,1/2/14,Pending Construction,0,0,NA
1471,20 - Madera,1/2/14,In Construction,5355573,21,NA
1472,20 - Madera,1/2/14,In Closure,14884642.08,10,NA
1473,21 - Marin,1/2/14,In Review,183208715,18,Bay Area Counties
1474,21 - Marin,1/2/14,Pending Construction,44482215,9,Bay Area Counties
1475,21 - Marin,1/2/14,In Construction,23562956,20,Bay Area Counties
1476,21 - Marin,1/2/14,In Closure,5604832,14,Bay Area Counties
1477,22 - Mariposa,1/2/14,In Review,0,0,NA
1478,22 - Mariposa,1/2/14,Pending Construction,0,0,NA
1479,22 - Mariposa,1/2/14,In Construction,0,0,NA
1480,22 - Mariposa,1/2/14,In Closure,0,0,NA
1481,23 - Mendocino,1/2/14,In Review,17027175,11,NA
1482,23 - Mendocino,1/2/14,Pending Construction,1040000,4,NA
1483,23 - Mendocino,1/2/14,In Construction,1590332,11,NA
1484,23 - Mendocino,1/2/14,In Closure,39188600.5,9,NA
1485,24 - Merced,1/2/14,In Review,233600,4,NA
1486,24 - Merced,1/2/14,Pending Construction,254075,5,NA
1487,24 - Merced,1/2/14,In Construction,12965854,4,NA
1488,24 - Merced,1/2/14,In Closure,257535.93,4,NA
1489,25 - Modoc,1/2/14,In Review,0,0,NA
1490,25 - Modoc,1/2/14,Pending Construction,12500,1,NA
1491,25 - Modoc,1/2/14,In Construction,0,0,NA
1492,25 - Modoc,1/2/14,In Closure,0,0,NA
1493,26 - Mono,1/2/14,In Review,190794,2,NA
1494,26 - Mono,1/2/14,Pending Construction,0,0,NA
1495,26 - Mono,1/2/14,In Construction,22398,4,NA
1496,26 - Mono,1/2/14,In Closure,0,0,NA
1497,27 - Monterey,1/2/14,In Review,1941290,8,NA
1498,27 - Monterey,1/2/14,Pending Construction,1415076,10,NA
1499,27 - Monterey,1/2/14,In Construction,39687945,17,NA
1500,27 - Monterey,1/2/14,In Closure,2260877.87,14,NA
1501,28 - Napa,1/2/14,In Review,1423950,6,Bay Area Counties
1502,28 - Napa,1/2/14,Pending Construction,669298,7,Bay Area Counties
1503,28 - Napa,1/2/14,In Construction,33992820,10,Bay Area Counties
1504,28 - Napa,1/2/14,In Closure,49625166,21,Bay Area Counties
1505,29 - Nevada,1/2/14,In Review,15361431,6,NA
1506,29 - Nevada,1/2/14,Pending Construction,3935181,5,NA
1507,29 - Nevada,1/2/14,In Construction,30355494,21,NA
1508,29 - Nevada,1/2/14,In Closure,0,0,NA
1509,30 - Orange,1/2/14,In Review,47271649.33,91,Greater Los Angeles Counties
1510,30 - Orange,1/2/14,Pending Construction,21060267.33,60,Greater Los Angeles Counties
1511,30 - Orange,1/2/14,In Construction,216805170,142,Greater Los Angeles Counties
1512,30 - Orange,1/2/14,In Closure,337505305.7,222,Greater Los Angeles Counties
1513,31 - Placer,1/2/14,In Review,10959929,13,Greater Sacramento Counties
1514,31 - Placer,1/2/14,Pending Construction,796000,7,Greater Sacramento Counties
1515,31 - Placer,1/2/14,In Construction,16748799,16,Greater Sacramento Counties
1516,31 - Placer,1/2/14,In Closure,123056649,15,Greater Sacramento Counties
1517,32 - Plumas,1/2/14,In Review,40000,1,NA
1518,32 - Plumas,1/2/14,Pending Construction,83000,2,NA
1519,32 - Plumas,1/2/14,In Construction,85900,2,NA
1520,32 - Plumas,1/2/14,In Closure,0,0,NA
1521,33 - Riverside,1/2/14,In Review,252881598.7,67,NA
1522,33 - Riverside,1/2/14,Pending Construction,144714788,70,NA
1523,33 - Riverside,1/2/14,In Construction,144083499.6,125,NA
1524,33 - Riverside,1/2/14,In Closure,48882016,114,NA
1525,34 - Sacramento,1/2/14,In Review,55060423,46,Greater Sacramento Counties
1526,34 - Sacramento,1/2/14,Pending Construction,93151277.19,36,Greater Sacramento Counties
1527,34 - Sacramento,1/2/14,In Construction,264541223.5,122,Greater Sacramento Counties
1528,34 - Sacramento,1/2/14,In Closure,113459307.5,52,Greater Sacramento Counties
1529,35 - San Benito,1/2/14,In Review,164000,1,NA
1530,35 - San Benito,1/2/14,Pending Construction,0,0,NA
1531,35 - San Benito,1/2/14,In Construction,14231955,4,NA
1532,35 - San Benito,1/2/14,In Closure,252000,2,NA
1533,36 - San Bernardino,1/2/14,In Review,89968537.53,51,NA
1534,36 - San Bernardino,1/2/14,Pending Construction,131547087.8,50,NA
1535,36 - San Bernardino,1/2/14,In Construction,202269270.3,118,NA
1536,36 - San Bernardino,1/2/14,In Closure,11973307,70,NA
1537,37 - San Diego,1/2/14,In Review,380857207.1,128,NA
1538,37 - San Diego,1/2/14,Pending Construction,297558570.6,108,NA
1539,37 - San Diego,1/2/14,In Construction,704973624.8,216,NA
1540,37 - San Diego,1/2/14,In Closure,429454107.2,244,NA
1541,38 - San Francisco,1/2/14,In Review,1250913582,71,Bay Area Counties
1542,38 - San Francisco,1/2/14,Pending Construction,357041076.4,66,Bay Area Counties
1543,38 - San Francisco,1/2/14,In Construction,1172262192,120,Bay Area Counties
1544,38 - San Francisco,1/2/14,In Closure,446651371.5,103,Bay Area Counties
1545,39 - San Joaquin,1/2/14,In Review,5220309.8,22,NA
1546,39 - San Joaquin,1/2/14,Pending Construction,92053972,34,NA
1547,39 - San Joaquin,1/2/14,In Construction,24799644.58,47,NA
1548,39 - San Joaquin,1/2/14,In Closure,18644987.54,18,NA
1549,40 - San Luis Obispo,1/2/14,In Review,2986415,13,NA
1550,40 - San Luis Obispo,1/2/14,Pending Construction,344000,9,NA
1551,40 - San Luis Obispo,1/2/14,In Construction,6644961.1,18,NA
1552,40 - San Luis Obispo,1/2/14,In Closure,9160653.02,26,NA
1553,41 - San Mateo,1/2/14,In Review,74615192.52,30,Bay Area Counties
1554,41 - San Mateo,1/2/14,Pending Construction,35860717.46,22,Bay Area Counties
1555,41 - San Mateo,1/2/14,In Construction,334867100.8,69,Bay Area Counties
1556,41 - San Mateo,1/2/14,In Closure,84534449.56,45,Bay Area Counties
1557,42 - Santa Barbara,1/2/14,In Review,10326347,17,NA
1558,42 - Santa Barbara,1/2/14,Pending Construction,76647444.4,18,NA
1559,42 - Santa Barbara,1/2/14,In Construction,301747447.6,43,NA
1560,42 - Santa Barbara,1/2/14,In Closure,95186213.45,21,NA
1561,43 - Santa Clara,1/2/14,In Review,724372439.3,86,Bay Area Counties
1562,43 - Santa Clara,1/2/14,Pending Construction,15996221,69,Bay Area Counties
1563,43 - Santa Clara,1/2/14,In Construction,972841325.4,147,Bay Area Counties
1564,43 - Santa Clara,1/2/14,In Closure,95549788.24,134,Bay Area Counties
1565,44 - Santa Cruz,1/2/14,In Review,11340229,8,NA
1566,44 - Santa Cruz,1/2/14,Pending Construction,276407.5,7,NA
